* Measurement data measured by REW V5.20.7
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Jun 13, 2022 12:22:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = IEF Neutral (iem) B = Default Dataset
* Measurement: A times B
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
9880.000000, -0.595
10000.000000, -1.407
10150.000000, -2.106
10300.000000, -2.604
10440.000000, -3.114
10600.000000, -3.857
10750.000000, -4.520
10900.000000, -5.094
11060.000000, -5.714
11200.000000, -6.139
11380.000000, -6.635
11500.000000, -6.953
11720.000000, -7.313
11800.000000, -7.439
12060.000000, -7.552
12200.000000, -7.539
12410.000000, -7.290
12500.000000, -7.175
12650.000000, -6.852
12800.000000, -6.489
13150.000000, -5.585
13200.000000, -5.478
13400.000000, -5.001
13600.000000, -4.598
13800.000000, -4.204
14000.000000, -3.889
14300.000000, -3.422
14500.000000, -3.220
14750.000000, -2.965
15000.000000, -2.684
15250.000000, -2.432
15500.000000, -2.262
15750.000000, -2.278
16000.000000, -2.462
16250.000000, -2.963
16500.000000, -3.603
16750.000000, -4.263
17000.000000, -5.127
17250.000000, -6.054
17500.000000, -6.966
17750.000000, -7.998
18000.000000, -9.012
18250.000000, -9.895
18500.000000, -10.774
18750.000000, -11.607
19000.000000, -12.430
19250.000000, -13.139
19500.000000, -13.844
19750.000000, -14.499
20000.000000, -14.934
