* Measurement data measured by REW V5.19
* Source: C:\Users\Admin\Desktop\a.csv
* Format: Comma/Tab/Space delimited data
* Dated: Nov 20, 2021 6:16:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Admin\Desktop\a.csv Format: Comma/Tab/Space delimited data 944 values loaded, 20 Hz to 20,000 Hz
* Measurement: a.csv
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.4 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
3044.370, -1.609, 0
3066.431, -1.598, 0
3088.652, -1.563, 0
3111.033, -1.548, 0
3133.577, -1.523, 0
3156.284, -1.511, 0
3179.156, -1.487, 0
3202.193, -1.490, 0
3225.398, -1.445, 0
3248.771, -1.416, 0
3272.312, -1.394, 0
3296.025, -1.364, 0
3319.909, -1.350, 0
3343.967, -1.311, 0
3368.198, -1.233, 0
3392.606, -1.156, 0
3417.190, -1.057, 0
3441.952, -0.990, 0
3466.894, -0.920, 0
3492.017, -0.812, 0
3517.321, -0.742, 0
3542.809, -0.670, 0
3568.482, -0.596, 0
3594.341, -0.501, 0
3620.387, -0.449, 0
3646.622, -0.378, 0
3673.046, -0.290, 0
3699.663, -0.236, 0
3726.472, -0.165, 0
3753.476, -0.108, 0
3780.675, -0.077, 0
3808.071, -0.015, 0
3835.666, 0.029, 0
3863.461, 0.100, 0
3891.457, 0.110, 0
3919.656, 0.139, 0
3948.060, 0.140, 0
3976.669, 0.159, 0
4005.486, 0.155, 0
4034.511, 0.183, 0
4063.747, 0.189, 0
4093.194, 0.219, 0
4122.855, 0.253, 0
4152.731, 0.258, 0
4182.824, 0.285, 0
4213.134, 0.293, 0
4243.664, 0.300, 0
4274.416, 0.269, 0
4305.390, 0.264, 0
4336.588, 0.218, 0
4368.013, 0.182, 0
4399.666, 0.181, 0
4431.547, 0.185, 0
4463.660, 0.179, 0
4496.005, 0.185, 0
4528.585, 0.162, 0
4561.401, 0.170, 0
4594.455, 0.170, 0
4627.749, 0.170, 0
4661.283, 0.170, 0
4695.061, 0.170, 0
4729.083, 0.193, 0
4763.352, 0.215, 0
4797.869, 0.255, 0
4832.637, 0.316, 0
4867.656, 0.397, 0
